record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1821.84,1820.86,0.98,0.0,0.98,0.0,0.0004730444195142048,0.9977293515539141,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1821.84,1818.13,3.71,0.0,3.71,0.0,0.0007964092555028417,0.9979368516310326,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1818.28,1815.6,2.68,0.0,2.68,0.0,0.0006752974898490454,0.9981039496048592,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1815.81,1831.08,-15.27,0.0,-15.27,0.0,0.0005628577235070803,0.9980616248070988,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,BUY,1824.74,1830.77,6.03,0.0,6.03,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1832.44,1814.15,18.29,0.0,18.29,0.0,0.9995134435122439,0.9995134435122439,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1814.71,1807.75,6.96,0.0,6.96,0.0,0.9998647955008739,0.9998647955008739,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251110,20251110,SELL,1810.65,1804.18,6.47,0.0,6.47,0.0,0.9993984323409337,0.9993984323409337,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1811.58,1815.7,-4.12,0.0,-4.12,0.0,0.995285286600884,0.995285286600884,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1815.82,1822.46,-6.64,0.0,-6.64,0.0,0.9998906188003674,0.9998906188003674,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1822.7,1823.31,-0.61,0.0,-0.61,0.0,0.9995359555094299,0.9995359555094299,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1823.4,1817.69,5.71,0.0,5.71,0.0,0.9990064649259597,0.9990064649259597,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1817.88,1817.35,0.53,0.0,0.53,0.0,0.9994918675568203,0.9994918675568203,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1816.92,1812.8,4.12,0.0,4.12,0.0,0.0007974273051303193,0.9971705438131135,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1812.77,1813.54,-0.77,0.0,-0.77,0.0,0.0005220278321209544,0.9974275916217932,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1813.62,1812.47,1.15,0.0,1.15,0.0,0.000953315406162974,0.9967441183039891,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1814.33,1814.33,-0.0,0.0,-0.0,0.0,0.0006311634134504592,0.9975543993746971,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1813.33,1810.31,3.02,0.0,3.02,0.0,0.0006813852610597678,0.9978712157692563,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,BUY,1809.41,1813.73,4.32,0.0,4.32,7.984925812918328e-14,0.0,0.9999999999998863,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1829.95,1824.04,5.91,0.0,5.91,0.0,0.999996343876636,0.999996343876636,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1824.32,1817.61,6.71,0.0,6.71,0.0,0.9995524183455846,0.9995524183455846,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1817.12,1820.77,-3.65,0.0,-3.65,0.0,0.9999118596771478,0.9999118596771478,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251111,20251111,SELL,1818.35,1821.6,-3.25,0.0,-3.25,0.0,0.9924850374230837,0.9924850374230837,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,BUY,1828.51,1828.25,-0.26,0.0,-0.26,0.9813648118030717,0.0,0.9813648118030717,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1828.43,1829.95,-1.52,0.0,-1.52,0.0,0.9384054658146408,0.9384054658146408,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1830.16,1825.67,4.49,0.0,4.49,0.0,0.9995251294297564,0.9995251294297564,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1826.0,1824.55,1.45,0.0,1.45,0.0,0.9997158021815831,0.9997158021815831,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1825.21,1827.01,-1.8,0.0,-1.8,0.0,0.999725850486426,0.999725850486426,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1826.95,1825.24,1.71,0.0,1.71,0.0,0.9901146044770706,0.9901146044770706,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1825.59,1828.39,-2.8,0.0,-2.8,0.0,0.998962831628504,0.998962831628504,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1828.42,1832.72,-4.3,0.0,-4.3,0.0,0.9997233160441078,0.9997233160441078,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1839.63,1839.63,-0.0,0.0,-0.0,0.0,0.9997674102281084,0.9997674102281084,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251112,20251112,SELL,1847.42,1851.26,-3.84,0.0,-3.84,0.0,0.9999999860385742,0.9999999860385742,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,BUY,1872.37,1869.15,-3.22,0.0,-3.22,0.1157526577831612,0.0,0.884247342216854,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1867.51,1863.98,3.53,0.0,3.53,0.0,0.9997471316606894,0.9997471316606894,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1863.78,1861.56,2.22,0.0,2.22,0.0,0.9997915881551629,0.9997915881551629,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20250901,20251231,,,,,,,,,,,20251113,20251113,SELL,1861.83,1864.06,-2.23,0.0,-2.23,0.0,0.9998077554498301,0.9998077554498301,0.0
