record_type,timeframe,resolution,suite,symbol,period_from,period_to,n_bars,n_trades,win_rate_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,total_return_pct,cagr_pct,expectancy,profit_factor,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,BUY,2071.76,2073.71,1.95,0.0,1.95,9.628480691716239e-12,0.0,0.9999999999903935,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2071.0,2070.89,0.11,0.0,0.11,0.0,3.3647850340660886e-05,0.9654321892063773,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2071.54,2068.34,3.2,0.0,3.2,0.0,5.560618064345195e-05,0.9969954526707447,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2068.46,2066.69,1.77,0.0,1.77,0.0,0.0002324170627133468,0.9995229917661299,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2065.95,2059.0,6.95,0.0,6.95,0.0,0.0004239975785157828,0.9995398541331842,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2059.47,2063.61,-4.14,0.0,-4.14,0.0,7.809324096057953e-07,0.9999900977303756,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2064.18,2066.49,-2.31,0.0,-2.31,0.0,0.9998022760851406,0.9998022760851406,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2066.42,2066.42,-0.0,0.0,-0.0,0.0,0.9292054843143126,0.9292054843143126,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,BUY,2055.62,2067.04,11.42,0.0,11.42,8.485912628649358e-230,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2066.78,2065.92,0.86,0.0,0.86,0.0,0.9996687957312633,0.9996687957312633,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2061.3,2057.11,4.19,0.0,4.19,0.0,9.349892807607665e-05,0.9694879402220339,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260227,20260227,SELL,2059.22,2061.75,-2.53,0.0,-2.53,0.0,0.004121529661891018,0.945879821633727,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2058.79,2022.16,36.63,0.0,36.63,0.0,0.0034623693536802893,0.9932972321028835,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2021.31,2030.08,-8.77,0.0,-8.77,0.0,8.167317173108601e-10,0.9999993918522281,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2030.25,2039.0,-8.75,0.0,-8.75,0.0,0.010898605414131481,0.989082753162777,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2038.35,2034.6,3.75,0.0,3.75,0.0,0.0009094081113311704,0.9975787438239443,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2034.23,2035.44,-1.21,0.0,-1.21,0.0,0.00038627386837302737,0.9994694459181531,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2035.51,2037.39,-1.88,0.0,-1.88,0.0,0.0009435504535025602,0.9990243715860665,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2037.45,2050.24,-12.79,0.0,-12.79,0.0,0.0010705229756943532,0.9988785974519305,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2049.86,2055.61,-5.75,0.0,-5.75,0.0,0.0023812227866374393,0.9972893774590635,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2047.07,2047.07,-0.0,0.0,-0.0,0.0,0.0009620737105764858,0.998845845746865,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2047.29,2043.9,3.39,0.0,3.39,0.0,0.00042022644802919783,0.9995055337141563,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,BUY,2043.87,2044.72,0.85,0.0,0.85,0.0,0.0,1.0,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2035.28,2018.39,16.89,0.0,16.89,0.0,0.0005115344363919467,0.9744717728383533,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2019.33,2015.17,4.16,0.0,4.16,0.0,5.981576661246035e-05,0.9989708368655349,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260302,20260302,SELL,2018.36,2010.75,7.61,0.0,7.61,0.0,0.0006984654918045728,0.9992373807993388,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,BUY,2019.38,2009.52,-9.86,0.0,-9.86,4.5581662690806805e-11,0.0,0.9999999999544116,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2009.46,2012.26,-2.8,0.0,-2.8,0.0,0.0009398597214575749,0.784965788238505,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2012.98,2009.74,3.24,0.0,3.24,0.0,0.0006043910492152292,0.970209155314581,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2009.16,2004.25,4.91,0.0,4.91,0.0,0.0006607471210569001,0.9973100004225476,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2004.35,2008.06,-3.71,0.0,-3.71,0.0,0.00022039508312740588,0.9995871067929943,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2008.15,2005.46,2.69,0.0,2.69,0.0,0.0011992476335074722,0.9987697592988956,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,2005.54,1998.79,6.75,0.0,6.75,0.0,0.0006884416447549365,0.9992392657720682,0.0
trade,15m,15,hmm_tfcompare_15m,VN30F1M,20260101,20260320,,,,,,,,,,,20260303,20260303,SELL,1998.81,1997.85,0.96,0.0,0.96,0.0,0.00019411791207726134,0.9997659289166876,0.0
